method,dataset,patient_id,llm_provider,llm_model,llm_used,llm_fallback_used,retrieved_chunks,xgboost_sec,shap_sec,dice_sec,rag_retrieval_sec,guardrail_sec,llm_api_sec,llm_summary_sec,component_sum_sec,total_inference_sec
BRANCH-Gemma4-31B,maternal_health,25,gemini,gemma-4-31b-it,True,False,3,0.003,0.0685,0.004,0.0074,0.0,23.0169,23.0185,23.101399999999998,23.1014
BRANCH-Gemma4-31B,maternal_health,26,gemini,gemma-4-31b-it,True,False,3,0.0039,0.0929,0.0032,0.0076,0.0,23.0938,23.0947,23.2023,23.2023
BRANCH-Gemma4-31B,maternal_health,2,gemini,gemma-4-31b-it,True,False,3,0.0034,0.0913,0.0039,0.0073,0.0,23.5321,23.5335,23.6394,23.6396
BRANCH-Gemma4-31B,maternal_health,33,gemini,gemma-4-31b-it,True,False,3,0.0029,0.0889,0.0038,0.0072,0.0,23.1327,23.1334,23.2362,23.2363
BRANCH-Gemma4-31B,maternal_health,38,gemini,gemma-4-31b-it,True,False,3,0.0041,0.0936,0.0031,0.0082,0.0,23.3493,23.3508,23.4598,23.4598
BRANCH-Gemma4-31B,maternal_health,42,gemini,gemma-4-31b-it,True,False,3,0.0047,0.171,0.0034,0.0077,0.0,23.5348,23.5355,23.7223,23.7224
BRANCH-Gemma4-31B,maternal_health,43,gemini,gemma-4-31b-it,True,False,3,0.0036,0.0854,0.003,0.0071,0.0001,23.4451,23.4458,23.544999999999998,23.545
BRANCH-Gemma4-31B,maternal_health,48,gemini,gemma-4-31b-it,True,False,3,0.0033,0.0835,0.0046,0.0082,0.0,23.3417,23.3423,23.4419,23.442
BRANCH-Gemma4-31B,maternal_health,5,gemini,gemma-4-31b-it,True,False,3,0.0037,0.1001,0.0038,0.0078,0.0001,23.7965,23.7977,23.9132,23.9132
BRANCH-Gemma4-31B,maternal_health,63,gemini,gemma-4-31b-it,True,False,3,0.0029,0.0935,0.0031,0.0068,0.0,22.977,22.9784,23.0847,23.0847
BRANCH-Gemma4-31B,maternal_health,73,gemini,gemma-4-31b-it,True,False,3,0.0036,0.0909,0.0034,0.0066,0.0,23.1556,23.1563,23.260800000000003,23.2608
BRANCH-Gemma4-31B,maternal_health,80,gemini,gemma-4-31b-it,True,False,3,0.003,0.1602,0.5539,0.0086,0.0001,24.5778,24.5798,25.3056,25.3057
BRANCH-Gemma4-31B,maternal_health,83,gemini,gemma-4-31b-it,True,False,3,0.0053,0.096,0.0032,0.0073,0.0001,22.9922,22.993,23.104899999999997,23.105
BRANCH-Gemma4-31B,maternal_health,87,gemini,gemma-4-31b-it,True,False,3,0.003,0.0938,0.0037,0.0077,0.0001,23.2111,23.2122,23.3205,23.3205
BRANCH-Gemma4-31B,maternal_health,90,gemini,gemma-4-31b-it,True,False,3,0.0033,0.0877,0.0034,0.0076,0.0001,23.3898,23.392,23.4941,23.494
BRANCH-Gemma4-31B,maternal_health,98,gemini,gemma-4-31b-it,True,False,3,0.0067,0.3262,0.7916,0.0175,0.0001,23.0834,23.0856,24.2277,24.2278
BRANCH-Gemma4-31B,npha,0,gemini,gemma-4-31b-it,True,False,3,0.0105,2.6402,0.2822,0.0597,0.0001,23.2538,23.259,26.2517,26.2517
BRANCH-Gemma4-31B,npha,20,gemini,gemma-4-31b-it,True,False,3,0.0028,0.0454,0.0037,0.0071,0.0,23.4618,23.4632,23.5222,23.5222
BRANCH-Gemma4-31B,npha,22,gemini,gemma-4-31b-it,True,False,3,0.004,0.0516,0.0045,0.0075,0.0,22.9957,22.9964,23.064,23.064
BRANCH-Gemma4-31B,npha,29,gemini,gemma-4-31b-it,True,False,3,0.0033,0.0569,0.2403,0.0079,0.0,24.2175,24.2186,24.526999999999997,24.5271
BRANCH-Gemma4-31B,npha,2,gemini,gemma-4-31b-it,True,False,3,0.0043,0.064,0.0045,0.0093,0.0001,23.5052,23.5061,23.5883,23.5883
BRANCH-Gemma4-31B,npha,32,gemini,gemma-4-31b-it,True,False,3,0.0033,0.1267,0.0046,0.0076,0.0,23.3226,23.3233,23.4655,23.4655
BRANCH-Gemma4-31B,npha,34,gemini,gemma-4-31b-it,True,False,3,0.0038,0.0474,0.0032,0.0069,0.0,23.0764,23.077,23.1383,23.1383
BRANCH-Gemma4-31B,npha,3,gemini,gemma-4-31b-it,True,False,3,0.0037,0.0526,0.0053,0.0076,0.0,23.5129,23.5139,23.583099999999998,23.5831
BRANCH-Gemma4-31B,npha,43,gemini,gemma-4-31b-it,True,False,3,0.0033,0.0497,0.0034,0.0073,0.0,23.2537,23.2555,23.319200000000002,23.3192
BRANCH-Gemma4-31B,npha,51,gemini,gemma-4-31b-it,True,False,3,0.004,0.0578,0.0042,0.008,0.0,23.2943,23.2951,23.369100000000003,23.3691
BRANCH-Gemma4-31B,npha,65,gemini,gemma-4-31b-it,True,False,3,0.0036,0.0593,0.0046,0.0081,0.0001,23.1013,23.1024,23.1781,23.178
BRANCH-Gemma4-31B,npha,6,gemini,gemma-4-31b-it,True,False,3,0.0033,0.0473,0.0033,0.007,0.0,23.0885,23.0897,23.1506,23.1506
BRANCH-Gemma4-31B,npha,71,gemini,gemma-4-31b-it,True,False,3,0.0035,0.0475,0.0041,0.0068,0.0,22.893,22.8937,22.9556,22.9556
BRANCH-Gemma4-31B,npha,72,gemini,gemma-4-31b-it,True,False,3,0.0034,0.0538,0.0038,0.0083,0.0,23.2268,23.2277,23.296999999999997,23.2971
BRANCH-Gemma4-31B,npha,73,gemini,gemma-4-31b-it,True,False,3,0.0042,0.0481,0.2072,0.009,0.0001,23.0803,23.082,23.3506,23.3506
BRANCH-Gemma4-31B,npha,74,gemini,gemma-4-31b-it,True,False,3,0.0034,0.049,0.0051,0.0071,0.0,23.3369,23.3398,23.4044,23.4044
BRANCH-Gemma4-31B,npha,77,gemini,gemma-4-31b-it,True,False,3,0.0077,0.2418,0.01,0.0169,0.0001,23.2841,23.2857,23.562199999999997,23.5622
BRANCH-Gemma4-31B,npha,78,gemini,gemma-4-31b-it,True,False,3,0.0042,0.0489,0.2181,0.0082,0.0,23.1339,23.1346,23.413999999999998,23.4139
BRANCH-Gemma4-31B,npha,79,gemini,gemma-4-31b-it,True,False,3,0.0046,0.0495,0.0034,0.0074,0.0,23.4051,23.4058,23.4707,23.4707
BRANCH-Gemma4-31B,npha,84,gemini,gemma-4-31b-it,True,False,3,0.0047,0.0536,0.0042,0.008,0.0,23.2085,23.2092,23.2797,23.2798
